iso3c,year,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components
NZL,2020,0.0707070707070707,3.501917625181374,0.061079305978549304,0.032158317872603585,0.10208914308601516,0.6666666666666666,0.0692929292929293,0.5278253968253971,1
OMN,2020,0.06060606060606061,2.9698773285799973,0.1011445893630097,0.05029890744176459,0.13270413697603717,0.33333333333333337,0.0692929292929293,0.5278253968253971,1
PAK,2020,0.050505050505050504,2.8549883766744024,0.08260591095624996,0,0.08270591417844718,0.7,0.0692929292929293,0.5278253968253971,1
PAN,2020,0.050505050505050504,2.4540364531758394,0.07929162223201643,0.0010307153164296021,0.10965256453821566,0.4,0.0692929292929293,0.5278253968253971,1
PER,2020,0.12121212121212122,6.7508429004038755,0.47384098397956353,0.2209853638425067,0.1399722675964474,0.30303030303030304,0.0692929292929293,0.5278253968253971,1
PHL,2020,0.06060606060606061,3.430344341959506,0.18494035444936943,0.0018552875695732839,0.11230194618280051,0.4666666666666667,0.0692929292929293,0.5278253968253971,1
POL,2020,0.12121212121212122,6.444017368059006,1,0.12574726860441146,0.1411115393466705,0.4848484848484848,0.0692929292929293,0.5278253968253971,1
PRT,2020,0.06060606060606061,2.9256187583898905,0.04254487890615806,4.1228612657184083e-4,0.09960683681972943,0.7333333333333333,0.0692929292929293,0.5278253968253971,1
PRY,2020,0.050505050505050504,2.284512376590543,0.11246157850227133,0.004947433518862091,0.1234686218136473,0.6,0.0692929292929293,0.5278253968253971,1
QAT,2020,0.050505050505050504,1.7975297723359807,0.028078584748366598,0,0.10322798956880085,0.8,0.0692929292929293,0.5278253968253971,1
ROU,2020,0.10101010101010101,4.739012485841189,0.7060354653946928,0.006596578025149453,0.12204929470631144,0.48888888888888893,0.0692929292929293,0.5278253968253971,1
RWA,2020,0.06060606060606061,3.375280760417381,0.07737919137585689,0.026386312100597813,0.091564435779053,0.5333333333333333,0.0692929292929293,0.5278253968253971,1
SAU,2020,0.0707070707070707,3.3306588832022217,0.14788884720737103,0.04803133374561946,0.13157383682542848,0.5238095238095238,0.0692929292929293,0.5278253968253971,1
SEN,2020,0.050505050505050504,3.017522989212745,0.17420107026525058,0,0.1080409692201376,0.6,0.0692929292929293,0.5278253968253971,1
SGP,2020,0.050505050505050504,1.7591658904710996,0.026552768747091587,0,0.10139434366395506,0.8,0.0692929292929293,0.5278253968253971,1
SVK,2020,0.10101010101010101,5.675545320603282,0.9470182400168625,0.017522160379303237,0.13088671623191547,0.5555555555555556,0.0692929292929293,0.5278253968253971,1
SVN,2020,0.0707070707070707,3.4633002742929135,0.1512313613022209,0.17790146361574932,0.11875538743394444,0.3333333333333333,0.0692929292929293,0.5278253968253971,1
SWE,2020,0.09090909090909091,4.454031426195222,0.056091906008151754,0.0016491445062873633,0.08856398425110149,0.5833333333333334,0.0692929292929293,0.5278253968253971,1
THA,2020,0.050505050505050504,2.735618145748508,0.16934923031093357,0,0.12019713678529541,0.6,0.0692929292929293,0.5278253968253971,1
