iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
ARE,DZA,5048.766,5067.102,0,1,1,0,0,0,0,0,8.526899135973864,0,1
ARE,ECU,14293.43,14509.07,0,0,0,0,0,0,0,0,9.567555270113406,0,0
ARE,EGY,2370.061,2447.299,0,1,1,0,0,0,0,0,7.770670972194575,0,1
ARE,ESP,5634.667,5605.068,0,0,0,0,0,0,0,0,8.636693329785377,0,0
ARE,EST,4521.909,4441.28,0,0,0,0,0,0,0,0,8.416689528796418,0,0
ARE,ETH,2383.193,2464.884,0,0,0,0,0,0,0,0,7.776196464167501,0,0
ARE,FIN,4570.317,4638.037,0,0,0,0,0,0,0,0,8.427337846909277,0,0
ARE,FRA,5249.535,5180.43,0,0,0,0,0,0,0,0,8.565894780234418,0,0
ARE,GBR,5483.745,5594.327,0,0,0,1,0,0,1,0,8.609543540695189,1,0
ARE,GEO,2114.942,2160.824,0,0,0,0,0,0,0,0,7.656782667936508,0,0
ARE,GHA,6195.803,6293.392,0,0,0,0,1,0,0,0,8.731627406325035,1,0
ARE,GRC,3264.319,3332.014,0,0,0,0,0,0,0,0,8.090806444151593,0,0
ARE,GTM,14250.57,14273.17,0,0,0,0,0,0,0,0,9.564552184896819,0,0
ARE,HRV,4168.243,4146.66,0,0,0,0,0,0,0,0,8.335249883077315,0,0
ARE,HUN,4030.737,4021.083,0,0,0,0,0,0,0,0,8.301704516632421,0,0
ARE,IDN,6613.254,6635.37,0,0,0,0,0,0,0,0,8.79683109613106,0,0
ARE,IND,2312.871,2318.755,0,0,0,0,1,0,0,0,7.746244888951106,1,0
ARE,IRL,5925.424,5974.352,0,0,0,0,0,0,0,0,8.687007524624388,0,0
ARE,IRN,1279.036,1178.39,0,0,0,0,0,0,0,0,7.153861948172559,0,0
ARE,IRQ,1384.182,1387.964,0,1,1,0,0,0,0,0,7.232864630422041,0,1
ARE,ISL,6924.49,6888.304,0,0,0,0,0,0,0,0,8.842819682134138,0,0
ARE,ISR,2099.993,2133.738,0,0,1,0,1,0,0,0,7.649689290372625,1,1
ARE,ITA,4303.976,4399.974,0,0,0,0,0,0,0,0,8.367294525617895,0,0
ARE,JOR,1991.235,2040.894,0,1,1,0,1,0,0,0,7.5965103282392,1,1
ARE,JPN,8062.889,7767.567,0,0,0,0,0,0,0,0,8.995027208002144,0,0
ARE,KAZ,2932.293,3022.544,0,0,0,0,0,0,0,0,7.98353998980087,0,0
ARE,KEN,3437.679,3535.066,0,0,0,0,1,0,0,0,8.142551813346362,1,0
ARE,KHM,5501.911,5379.96,0,0,0,0,0,0,0,0,8.612850765417665,0,0
ARE,KOR,6909.236,6864.77,0,0,0,0,0,0,0,0,8.8406143462496,0,0
ARE,KWT,835.7674,860.2638,0,1,1,0,1,0,0,0,6.728350344706576,1,1
ARE,LAO,5029.932,5052.753,0,0,0,0,0,0,0,0,8.523161744115724,0,0
ARE,LKA,3342.212,3289.13,0,0,0,0,1,0,0,0,8.114388142212242,1,0
ARE,LTU,4127.873,4219.517,0,0,0,0,0,0,0,0,8.325517541184254,0,0
ARE,LUX,4999.584,5019.183,0,0,0,0,0,0,0,0,8.517109987954925,0,0
ARE,LVA,4355.656,4321.641,0,0,0,0,0,0,0,0,8.379230509400918,0,0
ARE,MAR,5957.76,6011.04,0,1,1,0,0,0,0,0,8.692449850488071,0,1
ARE,MEX,14372.35,14184.52,0,0,0,0,0,0,0,0,9.573061500845315,0,0
ARE,MLT,4011.032,4062.969,0,0,0,0,1,0,0,0,8.296803843798562,1,0
ARE,MMR,4415.291,4296.921,0,0,0,0,1,0,0,0,8.392829022530762,1,0
ARE,MNG,5255.396,5069.858,0,0,0,0,0,0,0,0,8.567010637274915,0,0
ARE,MYS,5594.997,5734.662,0,0,0,0,1,0,0,0,8.629628084552852,1,0
ARE,NAM,6607.643,6659.895,0,0,0,0,0,0,0,0,8.79598228831766,0,0
ARE,NGA,5782.212,5582.634,0,0,0,0,1,0,0,0,8.662541587417792,1,0
ARE,NLD,5170.816,5155.024,0,0,0,0,0,0,0,0,8.55078578870376,0,0
ARE,NOR,5174.927,5253.573,0,0,0,0,0,0,0,0,8.551580511753881,0,0
ARE,NPL,3101.719,2954.694,0,0,0,0,0,0,0,0,8.039711752915013,0,0
ARE,NZL,14269.96,14195.32,0,0,0,0,0,0,0,0,9.565911907383562,0,0
ARE,OMN,438.8936,360.2072,1,1,1,0,0,0,0,0,6.084257014678553,0,1
ARE,PAK,2083.979,1626.469,0,0,0,0,1,0,0,0,7.642034326047055,1,0
ARE,PAN,13801.21,13900.69,0,0,0,0,0,0,0,0,9.532511548460947,0,0
ARE,PER,14751.96,14733.89,0,0,0,0,0,0,0,0,9.599131234295953,0,0
ARE,PHL,7004.581,7046.731,0,0,0,0,0,0,0,0,8.854319642563881,0,0
ARE,POL,4181.628,4247.487,0,0,0,0,0,0,0,0,8.338455923377824,0,0
ARE,PRT,6107.288,6157.841,0,0,0,0,0,0,0,0,8.717238091109055,0,0
ARE,PRY,13254.52,13288.57,0,0,0,0,0,0,0,0,9.492093905317523,0,0
