iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.5390243902439
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,65017.654963867
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,324353340
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,85.5444212887222
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.83677
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.63827515
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11.55
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.8
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.5390243902439
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,66155.5555676249
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,326608609
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,87.2748891687657
USA,United States,2017,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.88315
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.51312637
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,2.548
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11.59
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.76
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.6390243902439
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,67719.7656392064
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,328529577
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,88.498903165152
USA,United States,2018,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.98956
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.54486084
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,3.482
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,13.02
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.72
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.7878048780488
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,69112.602688656
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,330226227
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,89.4302848575712
USA,United States,2019,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,3.14297
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,18.51597404
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,3.518
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,12.34
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.71
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,76.9804878048781
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,67342.0709287722
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,331577720
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,90.34470367
USA,United States,2020,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,3.41788
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,17.35207748
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,3.575
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,13.03
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.7
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,76.3292682926829
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,71307.4017277218
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,332099760
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,91.2684021
USA,United States,2021,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,3.4689
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.52875137
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,3.681
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,13.38
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.68
USA,United States,2022,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,77.4341463414634
