iso3c,year,indicator_code,value,value_text,parent_location,parent_location_code,indicator_label,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
AGO,2016,UHC_INDEX_REPORTED,40,40,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2016,UHC_SCI_CAPACITY,32,32,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2016,UHC_SCI_INFECT,31,31,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2016,UHC_SCI_NCD,59,59,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2016,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,GHED_EXTCHE_SHA2011,3.11478901,3.11,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,SDGIHR,75.23131,75,Africa,AFR,Average of 13 International Health Regulations core capacity scores,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,UHC_INDEX_REPORTED,42,42,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,UHC_SCI_CAPACITY,33,33,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,UHC_SCI_INFECT,34,34,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,UHC_SCI_NCD,59,59,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2017,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,GHED_EXTCHE_SHA2011,3.63668633,3.64,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,SDGIHR2018,59,59,Africa,AFR,IHR SPAR first edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,UHC_INDEX_REPORTED,41,41,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,UHC_SCI_CAPACITY,29,29,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,UHC_SCI_INFECT,37,37,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,UHC_SCI_NCD,59,59,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2018,UHC_SCI_RMNCH,46,46,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,GHED_EXTCHE_SHA2011,3.95930076,3.96,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,SDGIHR2018,63,63,Africa,AFR,IHR SPAR first edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,UHC_INDEX_REPORTED,45,45,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,UHC_SCI_CAPACITY,35,35,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,UHC_SCI_INFECT,42,42,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,UHC_SCI_NCD,60,60,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2019,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,GHED_EXTCHE_SHA2011,5.42787266,5.43,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,SDGIHR2018,65,65,Africa,AFR,IHR SPAR first edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,UHC_INDEX_REPORTED,43,43,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,UHC_SCI_CAPACITY,40,40,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,UHC_SCI_INFECT,33,33,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,UHC_SCI_NCD,60,60,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2020,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2021,GHED_EXTCHE_SHA2011,4.63837242,4.64,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2021,SDGIHR2021,40,40,Africa,AFR,IHR SPAR second edition average core capacity score,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2021,UHC_INDEX_REPORTED,38,38,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2021,UHC_SCI_CAPACITY,36,36,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2021,UHC_SCI_INFECT,22,22,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2021,UHC_SCI_NCD,60,60,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
