iso3c,year,iv_distance_weighted_peer_eigen,iv_language_peer_eigen,iv_historical_peer_eigen,iv_contiguous_peer_eigen
ROU,2004,NA,NA,NA,NA
ROU,2005,NA,NA,NA,NA
ROU,2006,NA,NA,NA,NA
ROU,2007,NA,NA,NA,NA
ROU,2008,NA,NA,NA,NA
ROU,2009,NA,NA,NA,NA
ROU,2010,NA,NA,NA,NA
ROU,2011,NA,NA,NA,NA
ROU,2012,NA,NA,NA,NA
ROU,2013,NA,NA,NA,NA
ROU,2014,NA,NA,NA,NA
ROU,2015,NA,NA,NA,NA
ROU,2016,NA,NA,NA,NA
ROU,2017,NA,NA,NA,NA
ROU,2018,NA,NA,NA,NA
ROU,2019,NA,NA,NA,NA
ROU,2020,NA,NA,NA,NA
ROU,2021,NA,NA,NA,NA
ROU,2022,NA,NA,NA,NA
ROU,2023,NA,NA,NA,NA
ROU,2024,NA,NA,NA,NA
RWA,2004,0.23309767153107344,0.27765173134407234,0.1722197091700633,0.6883195325763385
RWA,2005,0.19898243799683718,0.20254541355731087,0.07031190286449134,0.22767708998896907
RWA,2006,0.27554267346966604,0.2924997999787401,0.10334523460794656,0.3137820886781907
RWA,2007,0.178922489139035,0.20155700697573928,0.05294375678821694,0.17819722489755682
RWA,2008,0.15141460598445758,0.15109315054988298,0.05220842801071484,0.1720651155980724
RWA,2009,0.1407526016080783,0.17746519700942032,0.14718074870747067,0.4020531698789227
RWA,2010,0.16542432535710322,0.1519384013855839,0.07644660260157696,0.19169902679568618
RWA,2011,0.21582860186308928,0.22922738977279225,0.1675625649173599,0.4321707800126065
RWA,2012,0.15565895457128462,0.1463972612753154,0.052558958774318154,0.15923739797880898
RWA,2013,0.15411200999267924,0.22624878829319559,0.2779534035321868,0.7187992837147574
RWA,2014,0.15827121293013108,0.22579669063255814,0.25742400465510185,0.6650245148089138
RWA,2015,0.18641200690847948,0.19310856534981355,0.053715830311203375,0.17085017150275483
RWA,2016,0.16957934914494038,0.24810388707558734,0.25623730766105557,0.7039712592187664
RWA,2017,0.12709679442035593,0.18458334613060887,0.1930352595049646,0.47700124719356773
RWA,2018,0.2039590566088564,0.2852456688924746,0.2008210791431958,0.612622797195048
RWA,2019,0.24989929016460016,0.23656578597791497,0.21610529052535304,0.5026170436596753
RWA,2020,0.19842656704339162,0.12838002151729788,0.08243787585577213,0.07349871153669985
RWA,2021,0.21728713923001433,0.20619107072860146,0.08191478531882883,0.14442218706591003
RWA,2022,0.15952828485329099,0.14296438017160654,0.03561801763056193,0.06864520720192549
RWA,2023,0.1444244336217117,0.13617440949397602,0.026318198295470514,0.05591177085455426
RWA,2024,0.12754240610893877,0.10965697214299877,0.011001189813133317,0.02294975395837623
SAU,2004,0.22665581153513173,0.286553438586068,NA,0.157450162332178
SAU,2005,0.19611428178427687,0.2693745598867183,NA,0.11867996935566408
SAU,2006,0.2724084511419845,0.3668746789907307,NA,0.1926552433852533
SAU,2007,0.177216726496635,0.3243350682193046,NA,0.09915585538043054
SAU,2008,0.15018302152891996,0.2927709279806441,NA,0.06256375960476568
SAU,2009,0.13711529490357166,0.09967872184949812,NA,0.09208009936881123
SAU,2010,0.16287226724266513,0.2563879910655048,NA,0.10407100474673663
SAU,2011,0.2115587976516403,0.28210156755588606,NA,0.12699676160822185
SAU,2012,0.15344755989407488,0.2627487330314501,NA,0.11219921065071413
SAU,2013,0.14958027083218126,0.10071638150672499,NA,0.048449646473774186
SAU,2014,0.15339363266606715,0.10778185310505545,NA,0.08497271993715988
SAU,2015,0.18352339201683782,0.33210684319522654,NA,0.1310968939447471
SAU,2016,0.16754568774747544,0.11120903879199273,NA,0.11439764705302317
SAU,2017,0.12536445573361085,0.08084472732593968,NA,0.09250580925798722
SAU,2018,0.20263018445826225,0.21459575858266325,NA,0.17223465784759676
SAU,2019,0.25013239220825245,0.175270990328429,NA,0.11999097747944254
SAU,2020,0.20029461855584976,0.21045257106057821,NA,0.13772808877890677
SAU,2021,0.21861072777920845,0.431735179391854,NA,0.30523780818590396
SAU,2022,0.16019183318845978,0.3166500211118954,NA,0.23378984751983364
SAU,2023,0.14593133046958065,0.3486069051294459,NA,0.2524676098847851
SAU,2024,0.12896851876387516,0.3099917041889661,NA,0.21695284130212636
SEN,2004,0.2185960531758086,0.20118460963968726,0.49339434505825597,NA
SEN,2005,0.1962765802382842,0.17549192662507582,0.3666861155431962,NA
SEN,2006,0.2694616668083554,0.2543728021488676,0.6045518311238702,NA
SEN,2007,0.17682708858448204,0.21357401227657755,0.45200486807893103,NA
SEN,2008,0.15312617981366788,0.18564987815070028,0.34248050426251725,NA
SEN,2009,0.13028388176741004,0.0743742483645398,0.2612920423386852,NA
SEN,2010,0.16598669202905802,0.18665298158253352,0.3812115629721238,NA
